"id" "date" "base" "base_trend+meanShift.ref" "base_mean_adj.ref" "base_trend+meanShift.base" "base_mean_adj.base" "base_anomaly" "fit_of_base_anomaly" "annualC+meanShifts" "QM_adjusted" "fit_of_deseason_base"
1 1954-01-01 6.45 7.4126 6.719 7.4595 7.2908 0.1708 -0.3832 5.896 -999.99 -2.0533
2 1954-02-01 7.92 7.412 8.189 7.458 8.7608 0.7508 -0.3847 6.7845 -999.99 -2.0511
3 1954-03-01 8.03 7.4114 8.299 7.4565 8.8708 -0.6995 -0.3862 8.3433 -999.99 -2.0489
4 1954-04-01 9.28 7.4108 9.549 7.455 10.1208 -0.0918 -0.3877 8.9841 -999.99 -2.0467
5 1954-05-01 8.37 7.4101 8.639 7.4535 9.2108 -0.8017 -0.3892 8.7825 -999.99 -2.0444
6 1954-06-01 7.17 7.4095 7.439 7.452 8.0108 -1.6509 -0.3907 8.4302 -999.99 -2.0422
7 1954-07-01 7.85 7.4089 8.119 7.4505 8.6908 -0.8611 -0.3922 8.3189 -999.99 -2.04
8 1954-08-01 6.01 7.4082 6.279 7.449 6.8508 -2.166 -0.3937 7.7824 -999.99 -2.0377
9 1954-09-01 5.85 7.4076 6.119 7.4475 6.6908 -1.4448 -0.3952 6.8996 -999.99 -2.0355
10 1954-10-01 6.43 7.407 6.699 7.446 7.2708 -0.6104 -0.3967 6.6438 -999.99 -2.0333
11 1954-11-01 6.94 7.4064 7.209 7.4445 7.7808 0.225 -0.3982 6.3168 -999.99 -2.031
12 1954-12-01 8.65 7.4057 8.919 7.443 9.4908 2.0179 -0.3997 6.2325 -999.99 -2.0288
13 1955-01-01 6.22 7.4051 6.489 7.4415 7.0608 -0.0592 -0.4012 5.878 -999.99 -2.0266
14 1955-02-01 7.64 7.4045 7.909 7.44 8.4808 0.4708 -0.4027 6.7665 -999.99 -2.0243
15 1955-03-01 9.3 7.4038 9.569 7.4385 10.1408 0.5705 -0.4042 8.3253 -999.99 -2.0221
16 1955-04-01 9.63 7.4032 9.899 7.437 10.4708 0.2582 -0.4057 8.9661 -999.99 -2.0199
17 1955-05-01 9.26 7.4026 9.529 7.4355 10.1008 0.0883 -0.4072 8.7645 -999.99 -2.0176
18 1955-06-01 7.9 7.402 8.169 7.434 8.7408 -0.9209 -0.4087 8.4122 -999.99 -2.0154
19 1955-07-01 7.07 7.4013 7.339 7.4325 7.9108 -1.6411 -0.4102 8.3009 -999.99 -2.0132
20 1955-08-01 7.27 7.4007 7.539 7.431 8.1108 -0.906 -0.4117 7.7644 -999.99 -2.0109
21 1955-09-01 6.74 7.4001 7.009 7.4295 7.5808 -0.5548 -0.4132 6.8816 -999.99 -2.0087
22 1955-10-01 6.82 7.3995 7.089 7.428 7.6608 -0.2204 -0.4147 6.6258 -999.99 -2.0065
23 1955-11-01 7.51 7.3988 7.779 7.4265 8.3508 0.795 -0.4162 6.2988 -999.99 -2.0042
24 1955-12-01 6.08 7.3982 6.349 7.425 6.9208 -0.5521 -0.4177 6.2145 -999.99 -2.002
25 1956-01-01 6.66 7.3976 6.929 7.4235 7.5008 0.3808 -0.4192 5.86 -999.99 -1.9998
26 1956-02-01 6.91 7.3969 7.179 7.422 7.7508 -0.2592 -0.4207 6.7485 -999.99 -1.9975
27 1956-03-01 9.45 7.3963 9.719 7.4205 10.2908 0.7205 -0.4222 8.3073 -999.99 -1.9953
28 1956-04-01 8.76 7.3957 9.029 7.419 9.6008 -0.6118 -0.4237 8.9481 -999.99 -1.9931
29 1956-05-01 9.41 7.3951 9.679 7.4175 10.2508 0.2383 -0.4252 8.7465 -999.99 -1.9908
30 1956-06-01 7.73 7.3944 7.999 7.416 8.5708 -1.0909 -0.4267 8.3942 -999.99 -1.9886
31 1956-07-01 8.38 7.3938 8.649 7.4145 9.2208 -0.3311 -0.4282 8.2829 -999.99 -1.9864
32 1956-08-01 7.04 7.3932 7.309 7.413 7.8808 -1.136 -0.4297 7.7463 -999.99 -1.9841
33 1956-09-01 6.96 7.3925 7.229 7.4115 7.8008 -0.3348 -0.4312 6.8636 -999.99 -1.9819
34 1956-10-01 7.45 7.3919 7.719 7.41 8.2908 0.4096 -0.4327 6.6078 -999.99 -1.9797
35 1956-11-01 5.16 7.3913 5.429 7.4085 6.0008 -1.555 -0.4342 6.2808 -999.99 -1.9774
36 1956-12-01 6.57 7.3907 6.839 7.407 7.4108 -0.0621 -0.4357 6.1965 -999.99 -1.9752
37 1957-01-01 5.57 7.39 5.839 7.4055 6.4108 -0.7092 -0.4372 5.842 -999.99 -1.973
38 1957-02-01 7.38 7.3894 7.649 7.404 8.2208 0.2108 -0.4387 6.7305 -999.99 -1.9708
39 1957-03-01 8.05 7.3888 8.319 7.4025 8.8908 -0.6795 -0.4402 8.2893 -999.99 -1.9685
40 1957-04-01 7.78 7.3882 8.049 7.401 8.6208 -1.5918 -0.4417 8.9301 -999.99 -1.9663
41 1957-05-01 7.39 7.3875 7.659 7.3995 8.2308 -1.7817 -0.4432 8.7285 -999.99 -1.9641
42 1957-06-01 8 7.3869 8.269 7.398 8.8408 -0.8209 -0.4447 8.3762 -999.99 -1.9618
43 1957-07-01 7.49 7.3863 7.759 7.3965 8.3308 -1.2211 -0.4462 8.2649 -999.99 -1.9596
44 1957-08-01 6.56 7.3856 6.829 7.395 7.4008 -1.616 -0.4477 7.7283 -999.99 -1.9574
45 1957-09-01 6.38 7.385 6.649 7.3935 7.2208 -0.9148 -0.4492 6.8456 -999.99 -1.9551
46 1957-10-01 6.49 7.3844 6.759 7.392 7.3308 -0.5504 -0.4507 6.5898 -999.99 -1.9529
47 1957-11-01 6.16 7.3838 6.429 7.3905 7.0008 -0.555 -0.4522 6.2628 -999.99 -1.9507
48 1957-12-01 9.31 7.3831 9.579 7.389 10.1508 2.6779 -0.4537 6.1785 -999.99 -1.9484
49 1958-01-01 6.67 7.3825 6.939 7.3875 7.5108 0.3908 -0.4552 5.824 -999.99 -1.9462
50 1958-02-01 5.63 7.3819 5.899 7.386 6.4708 -1.5392 -0.4567 6.7125 -999.99 -1.944
51 1958-03-01 7.55 7.3812 7.819 7.3845 8.3908 -1.1795 -0.4582 8.2713 -999.99 -1.9417
52 1958-04-01 8.71 7.3806 8.979 7.383 9.5508 -0.6618 -0.4597 8.9121 -999.99 -1.9395
53 1958-05-01 7.8 7.38 8.069 7.3815 8.6408 -1.3717 -0.4612 8.7105 -999.99 -1.9373
54 1958-06-01 7.13 7.3794 7.399 7.38 7.9708 -1.6909 -0.4627 8.3582 -999.99 -1.935
55 1958-07-01 7.83 7.3787 8.099 7.3785 8.6708 -0.8811 -0.4642 8.2469 -999.99 -1.9328
56 1958-08-01 7.67 7.3781 7.939 7.377 8.5108 -0.506 -0.4657 7.7103 -999.99 -1.9306
57 1958-09-01 7.3 7.3775 7.569 7.3755 8.1408 0.0052 -0.4672 6.8276 -999.99 -1.9283
58 1958-10-01 6.12 7.3768 6.389 7.374 6.9608 -0.9204 -0.4687 6.5718 -999.99 -1.9261
59 1958-11-01 7.22 7.3762 7.489 7.3725 8.0608 0.505 -0.4702 6.2448 -999.99 -1.9239
60 1958-12-01 6.43 7.3756 6.699 7.371 7.2708 -0.2021 -0.4717 6.1604 -999.99 -1.9216
61 1959-01-01 7.37 7.375 7.639 7.3695 8.2108 1.0908 -0.4732 5.806 -999.99 -1.9194
62 1959-02-01 6.9 7.3743 7.169 7.368 7.7408 -0.2692 -0.4747 6.6945 -999.99 -1.9172
63 1959-03-01 8.73 7.3737 8.999 7.3665 9.5708 5e-04 -0.4762 8.2533 -999.99 -1.9149
64 1959-04-01 8.44 7.3731 8.709 7.365 9.2808 -0.9318 -0.4777 8.8941 -999.99 -1.9127
65 1959-05-01 7.8 7.3725 8.069 7.3635 8.6408 -1.3717 -0.4792 8.6925 -999.99 -1.9105
66 1959-06-01 7.81 7.3718 8.079 7.362 8.6508 -1.0109 -0.4807 8.3402 -999.99 -1.9082
67 1959-07-01 8.54 7.3712 8.809 7.3605 9.3808 -0.1711 -0.4822 8.2289 -999.99 -1.906
68 1959-08-01 7.6 7.3706 7.869 7.359 8.4408 -0.576 -0.4837 7.6923 -999.99 -1.9038
69 1959-09-01 6.57 7.3699 6.839 7.3575 7.4108 -0.7248 -0.4852 6.8096 -999.99 -1.9016
70 1959-10-01 5.92 7.3693 6.189 7.356 6.7608 -1.1204 -0.4867 6.5538 -999.99 -1.8993
71 1959-11-01 6.58 7.3687 6.849 7.3545 7.4208 -0.135 -0.4882 6.2268 -999.99 -1.8971
72 1959-12-01 6.4 7.3681 6.669 7.353 7.2408 -0.2321 -0.4897 6.1424 -999.99 -1.8949
73 1960-01-01 5.91 7.3674 6.179 7.3515 6.7508 -0.3692 -0.4912 5.788 -999.99 -1.8926
74 1960-02-01 7.65 7.3668 7.919 7.35 8.4908 0.4808 -0.4927 6.6765 -999.99 -1.8904
75 1960-03-01 7.73 6.2919 9.0732 6.3891 9.5292 -0.9995 -1.4536 7.2759 -999.99 -1.8882
76 1960-04-01 9.52 6.2913 10.8632 6.3876 11.3192 0.1482 -1.4551 7.9167 -999.99 -1.8859
77 1960-05-01 8.15 6.2907 9.4932 6.3861 9.9492 -1.0217 -1.4566 7.7151 -999.99 -1.8837
78 1960-06-01 7.03 6.2901 8.3732 6.3846 8.8292 -1.7909 -1.4581 7.3628 -999.99 -1.8815
79 1960-07-01 7.87 6.2894 9.2132 6.3831 9.6692 -0.8411 -1.4596 7.2515 -999.99 -1.8792
80 1960-08-01 6.83 6.2888 8.1732 6.3816 8.6292 -1.346 -1.4611 6.715 -999.99 -1.877
81 1960-09-01 6.87 6.2882 8.2132 6.3801 8.6692 -0.4248 -1.4626 5.8322 -999.99 -1.8748
82 1960-10-01 7.5 6.2876 8.8432 6.3786 9.2992 0.4596 -1.4641 5.5764 -999.99 -1.8725
83 1960-11-01 5.3 6.2869 6.6432 6.3771 7.0992 -1.415 -1.4656 5.2494 -999.99 -1.8703
84 1960-12-01 2.67 6.2863 4.0132 6.3756 4.4692 -3.9621 -1.4671 5.1651 -999.99 -1.8681
85 1961-01-01 4.76 6.2857 6.1032 6.3741 6.5592 -1.5192 -1.4686 4.8107 -999.99 -1.8658
86 1961-02-01 7.38 6.285 8.7232 6.3726 9.1792 0.2108 -1.4701 5.6992 -999.99 -1.8636
87 1961-03-01 5.93 6.2844 7.2732 6.3711 7.7292 -2.7995 -1.4716 7.2579 -999.99 -1.8614
88 1961-04-01 6.76 6.2838 8.1032 6.3696 8.5592 -2.6118 -1.4731 7.8987 -999.99 -1.8591
89 1961-05-01 6.34 6.2832 7.6832 6.3681 8.1392 -2.8317 -1.4746 7.6971 -999.99 -1.8569
90 1961-06-01 5.98 6.2825 7.3232 6.3666 7.7792 -2.8409 -1.4761 7.3448 -999.99 -1.8547
91 1961-07-01 6.91 6.2819 8.2532 6.3651 8.7092 -1.8011 -1.4776 7.2335 -999.99 -1.8524
92 1961-08-01 6.41 6.2813 7.7532 6.3636 8.2092 -1.766 -1.4791 6.697 -999.99 -1.8502
93 1961-09-01 7 6.2806 8.3432 6.3621 8.7992 -0.2948 -1.4806 5.8142 -999.99 -1.848
94 1961-10-01 6.29 6.28 7.6332 6.3606 8.0892 -0.7504 -1.4821 5.5584 -999.99 -1.8457
95 1961-11-01 7.15 6.2794 8.4932 6.3591 8.9492 0.435 -1.4836 5.2314 -999.99 -1.8435
96 1961-12-01 6.15 6.2788 7.4932 6.3576 7.9492 -0.4821 -1.4851 5.1471 -999.99 -1.8413
97 1962-01-01 4.72 6.2781 6.0632 6.3561 6.5192 -1.5592 -1.4866 4.7926 -999.99 -1.839
98 1962-02-01 4.64 6.2775 5.9832 6.3546 6.4392 -2.5292 -1.4881 5.6811 -999.99 -1.8368
99 1962-03-01 6.6 6.2769 7.9432 6.3531 8.3992 -2.1295 -1.4896 7.2399 -999.99 -1.8346
100 1962-04-01 8.61 6.2763 9.9532 6.3516 10.4092 -0.7618 -1.4911 7.8807 -999.99 -1.8324
101 1962-05-01 7.99 6.2756 9.3332 6.3501 9.7892 -1.1817 -1.4926 7.6791 -999.99 -1.8301
102 1962-06-01 7.7 6.275 9.0432 6.3486 9.4992 -1.1209 -1.4941 7.3268 -999.99 -1.8279
103 1962-07-01 6.7 6.2744 8.0432 6.3471 8.4992 -2.0111 -1.4956 7.2155 -999.99 -1.8257
104 1962-08-01 5.5 6.2737 6.8432 6.3456 7.2992 -2.676 -1.4971 6.679 -999.99 -1.8234
105 1962-09-01 5.41 6.2731 6.7532 6.3441 7.2092 -1.8848 -1.4986 5.7962 -999.99 -1.8212
106 1962-10-01 5.14 6.2725 6.4832 6.3426 6.9392 -1.9004 -1.5001 5.5404 -999.99 -1.819
107 1962-11-01 7.5 6.2719 8.8432 6.3411 9.2992 0.785 -1.5016 5.2134 -999.99 -1.8167
108 1962-12-01 6.15 6.2712 7.4932 6.3396 7.9492 -0.4821 -1.5031 5.1291 -999.99 -1.8145
109 1963-01-01 3.85 6.2706 5.1932 6.3381 5.6492 -2.4292 -1.5046 4.7746 -999.99 -1.8123
110 1963-02-01 5.31 6.27 6.6532 6.3366 7.1092 -1.8592 -1.5061 5.6631 -999.99 -1.81
111 1963-03-01 8.24 6.2693 9.5832 6.3351 10.0392 -0.4895 -1.5076 7.2219 -999.99 -1.8078
112 1963-04-01 6.37 6.2687 7.7132 6.3336 8.1692 -3.0018 -1.5091 7.8627 -999.99 -1.8056
113 1963-05-01 8.06 6.2681 9.4032 6.3321 9.8592 -1.1117 -1.5106 7.6611 -999.99 -1.8033
114 1963-06-01 7.07 6.2675 8.4132 6.3306 8.8692 -1.7509 -1.5121 7.3088 -999.99 -1.8011
115 1963-07-01 6.32 6.2668 7.6632 6.3291 8.1192 -2.3911 -1.5136 7.1975 -999.99 -1.7989
116 1963-08-01 4.99 6.2662 6.3332 6.3276 6.7892 -3.186 -1.5151 6.661 -999.99 -1.7966
117 1963-09-01 4.09 6.2656 5.4332 6.3261 5.8892 -3.2048 -1.5166 5.7782 -999.99 -1.7944
118 1963-10-01 5.68 6.2649 7.0232 6.3246 7.4792 -1.3604 -1.5181 5.5224 -999.99 -1.7922
119 1963-11-01 6.69 6.2643 8.0332 6.3231 8.4892 -0.025 -1.5196 5.1954 -999.99 -1.7899
120 1963-12-01 5.09 6.2637 6.4332 6.3216 6.8892 -1.5421 -1.5211 5.1111 -999.99 -1.7877
121 1964-01-01 8.08 6.2631 9.4232 6.3201 9.8792 1.8008 -1.5226 4.7566 -999.99 -1.7855
122 1964-02-01 6.93 6.2624 8.2732 6.3186 8.7292 -0.2392 -1.5241 5.6451 -999.99 -1.7832
123 1964-03-01 7.33 6.2618 8.6732 6.3171 9.1292 -1.3995 -1.5256 7.2039 -999.99 -1.781
124 1964-04-01 9.02 6.2612 10.3632 6.3156 10.8192 -0.3518 -1.5271 7.8447 -999.99 -1.7788
125 1964-05-01 7.81 6.2606 9.1532 6.3141 9.6092 -1.3617 -1.5286 7.6431 -999.99 -1.7765
126 1964-06-01 5.77 6.2599 7.1132 6.3126 7.5692 -3.0509 -1.5301 7.2908 -999.99 -1.7743
127 1964-07-01 6.94 6.2593 8.2832 6.3111 8.7392 -1.7711 -1.5316 7.1795 -999.99 -1.7721
128 1964-08-01 7.14 6.2587 8.4832 6.3096 8.9392 -1.036 -1.5331 6.643 -999.99 -1.7698
129 1964-09-01 6.68 6.258 8.0232 6.3081 8.4792 -0.6148 -1.5346 5.7602 -999.99 -1.7676
130 1964-10-01 4.58 6.2574 5.9232 6.3066 6.3792 -2.4604 -1.5361 5.5044 -999.99 -1.7654
131 1964-11-01 5.19 6.2568 6.5332 6.3051 6.9892 -1.525 -1.5376 5.1774 -999.99 -1.7631
132 1964-12-01 5.44 6.2562 6.7832 6.3036 7.2392 -1.1921 -1.5391 5.0931 -999.99 -1.7609
133 1965-01-01 3.92 6.2555 5.2632 6.3021 5.7192 -2.3592 -1.5406 4.7386 -999.99 -1.7587
134 1965-02-01 5.46 6.2549 6.8032 6.3006 7.2592 -1.7092 -1.5421 5.6271 -999.99 -1.7565
135 1965-03-01 5.43 6.2543 6.7732 6.2991 7.2292 -3.2995 -1.5436 7.1859 -999.99 -1.7542
136 1965-04-01 6.57 6.2536 7.9132 6.2976 8.3692 -2.8018 -1.5451 7.8267 -999.99 -1.752
137 1965-05-01 7.02 6.253 8.3632 6.2961 8.8192 -2.1517 -1.5466 7.6251 -999.99 -1.7498
138 1965-06-01 7.57 6.2524 8.9132 6.2946 9.3692 -1.2509 -1.5481 7.2728 -999.99 -1.7475
139 1965-07-01 5.93 6.2518 7.2732 6.2931 7.7292 -2.7811 -1.5496 7.1615 -999.99 -1.7453
140 1965-08-01 4.36 5.5313 6.423 5.5796 6.8721 -3.816 -2.2631 5.913 -999.99 -1.7431
141 1965-09-01 3.61 5.5306 5.673 5.5781 6.1221 -3.6848 -2.2646 5.0302 -999.99 -1.7408
142 1965-10-01 4.64 5.53 6.703 5.5766 7.1521 -2.4004 -2.2661 4.7744 -999.99 -1.7386
143 1965-11-01 2.84 5.5294 4.903 5.5751 5.3521 -3.875 -2.2676 4.4474 -999.99 -1.7364
144 1965-12-01 5.16 5.5288 7.223 5.5736 7.6721 -1.4721 -2.2691 4.3631 -999.99 -1.7341
145 1966-01-01 4.11 5.5281 6.173 5.5721 6.6221 -2.1692 -2.2706 4.0087 -999.99 -1.7319
146 1966-02-01 4.39 5.5275 6.453 5.5706 6.9021 -2.7792 -2.2721 4.8972 -999.99 -1.7297
147 1966-03-01 7.33 5.5269 9.393 5.5691 9.8421 -1.3995 -2.2736 6.4559 -999.99 -1.7274
148 1966-04-01 6.87 5.5262 8.933 5.5676 9.3821 -2.5018 -2.2751 7.0967 -999.99 -1.7252
149 1966-05-01 7.38 5.5256 9.443 5.5661 9.8921 -1.7917 -2.2766 6.8951 -999.99 -1.723
150 1966-06-01 5.55 5.525 7.613 5.5646 8.0621 -3.2709 -2.2781 6.5428 -999.99 -1.7207
151 1966-07-01 4.88 5.5244 6.943 5.5631 7.3921 -3.8311 -2.2796 6.4315 -999.99 -1.7185
152 1966-08-01 6.31 5.5237 8.373 5.5616 8.8221 -1.866 -2.2811 5.895 -999.99 -1.7163
153 1966-09-01 3.21 5.5231 5.273 5.5601 5.7221 -4.0848 -2.2826 5.0122 -999.99 -1.714
154 1966-10-01 4.29 5.5225 6.353 5.5586 6.8021 -2.7504 -2.2841 4.7564 -999.99 -1.7118
155 1966-11-01 4.42 5.5219 6.483 5.5571 6.9321 -2.295 -2.2856 4.4294 -999.99 -1.7096
156 1966-12-01 5.87 5.5212 7.933 5.5556 8.3821 -0.7621 -2.2871 4.3451 -999.99 -1.7073
157 1967-01-01 5.7 5.5206 7.763 5.5541 8.2121 -0.5792 -2.2886 3.9906 -999.99 -1.7051
158 1967-02-01 4.11 5.52 6.173 5.5526 6.6221 -3.0592 -2.2901 4.8791 -999.99 -1.7029
159 1967-03-01 6.27 5.5193 8.333 5.5511 8.7821 -2.4595 -2.2916 6.4379 -999.99 -1.7006
160 1967-04-01 5.92 5.5187 7.983 5.5496 8.4321 -3.4518 -2.2931 7.0787 -999.99 -1.6984
161 1967-05-01 4.43 5.5181 6.493 5.5481 6.9421 -4.7417 -2.2946 6.8771 -999.99 -1.6962
162 1967-06-01 4.79 5.5175 6.853 5.5466 7.3021 -4.0309 -2.2961 6.5248 -999.99 -1.6939
163 1967-07-01 5.37 5.5168 7.433 5.5451 7.8821 -3.3411 -2.2976 6.4135 -999.99 -1.6917
164 1967-08-01 4.27 5.5162 6.333 5.5436 6.7821 -3.906 -2.2991 5.877 -999.99 -1.6895
165 1967-09-01 3.37 5.5156 5.433 5.5421 5.8821 -3.9248 -2.3006 4.9942 -999.99 -1.6873
166 1967-10-01 5.61 5.5149 7.673 5.5406 8.1221 -1.4304 -2.3021 4.7384 -999.99 -1.685
167 1967-11-01 3.79 5.5143 5.853 5.5391 6.3021 -2.925 -2.3036 4.4114 -999.99 -1.6828
168 1967-12-01 5.94 5.5137 8.003 5.5376 8.4521 -0.6921 -2.3051 4.3271 -999.99 -1.6806
169 1968-01-01 6.48 5.5131 8.543 5.5361 8.9921 0.2008 -2.3066 3.9726 -999.99 -1.6783
170 1968-02-01 4.13 5.5124 6.193 5.5346 6.6421 -3.0392 -2.3081 4.8611 -999.99 -1.6761
171 1968-03-01 5.88 5.5118 7.943 5.5331 8.3921 -2.8495 -2.3096 6.4199 -999.99 -1.6739
172 1968-04-01 8.46 5.5112 10.523 5.5316 10.9721 -0.9118 -2.3111 7.0607 -999.99 -1.6716
173 1968-05-01 6.4 5.5106 8.463 5.5301 8.9121 -2.7717 -2.3126 6.8591 -999.99 -1.6694
174 1968-06-01 7.06 5.5099 9.123 5.5286 9.5721 -1.7609 -2.3141 6.5068 -999.99 -1.6672
175 1968-07-01 6.99 5.5093 9.053 5.5271 9.5021 -1.7211 -2.3156 6.3955 -999.99 -1.6649
176 1968-08-01 5.47 5.5087 7.533 5.5256 7.9821 -2.706 -2.3171 5.859 -999.99 -1.6627
177 1968-09-01 5.62 5.508 7.683 5.5241 8.1321 -1.6748 -2.3186 4.9762 -999.99 -1.6605
178 1968-10-01 6.08 5.5074 8.143 5.5226 8.5921 -0.9604 -2.3201 4.7204 -999.99 -1.6582
179 1968-11-01 4.41 5.5068 6.473 5.5211 6.9221 -2.305 -2.3216 4.3934 -999.99 -1.656
180 1968-12-01 4.49 5.5062 6.553 5.5196 7.0021 -2.1421 -2.3231 4.3091 -999.99 -1.6538
181 1969-01-01 3.88 5.5055 5.943 5.5181 6.3921 -2.3992 -2.3246 3.9546 -999.99 -1.6515
182 1969-02-01 4.97 5.5049 7.033 5.5166 7.4821 -2.1992 -2.3261 4.8431 -999.99 -1.6493
183 1969-03-01 6.24 5.5043 8.303 5.5151 8.7521 -2.4895 -2.3276 6.4019 -999.99 -1.6471
184 1969-04-01 7.57 5.5036 9.633 5.5136 10.0821 -1.8018 -2.3291 7.0427 -999.99 -1.6448
185 1969-05-01 7.6 5.503 9.663 5.5121 10.1121 -1.5717 -2.3306 6.8411 -999.99 -1.6426
186 1969-06-01 5.7 5.5024 7.763 5.5106 8.2121 -3.1209 -2.3321 6.4888 -999.99 -1.6404
187 1969-07-01 6.77 5.5018 8.833 5.5091 9.2821 -1.9411 -2.3336 6.3775 -999.99 -1.6381
188 1969-08-01 6.71 5.5011 8.773 5.5076 9.2221 -1.466 -2.3351 5.841 -999.99 -1.6359
189 1969-09-01 5.21 5.5005 7.273 5.5061 7.7221 -2.0848 -2.3366 4.9582 -999.99 -1.6337
190 1969-10-01 3.56 5.4999 5.623 5.5046 6.0721 -3.4804 -2.3381 4.7024 -999.99 -1.6314
191 1969-11-01 4.06 5.4992 6.123 5.5031 6.5721 -2.655 -2.3396 4.3754 -999.99 -1.6292
192 1969-12-01 3.2 5.4986 5.263 5.5016 5.7121 -3.4321 -2.3411 4.2911 -999.99 -1.627
193 1970-01-01 3.03 5.498 5.093 5.5001 5.5421 -3.2492 -2.3426 3.9366 -999.99 -1.6247
194 1970-02-01 3.29 5.4974 5.353 5.4986 5.8021 -3.8792 -2.3441 4.8251 -999.99 -1.6225
195 1970-03-01 7.15 5.4967 9.213 5.4971 9.6621 -1.5795 -2.3456 6.3839 -999.99 -1.6203
196 1970-04-01 8.76 5.4961 10.823 5.4956 11.2721 -0.6118 -2.3471 7.0247 -999.99 -1.618
197 1970-05-01 6.75 5.4955 8.813 5.4941 9.2621 -2.4217 -2.3486 6.8231 -999.99 -1.6158
198 1970-06-01 7.46 5.4949 9.523 5.4926 9.9721 -1.3609 -2.3501 6.4708 -999.99 -1.6136
199 1970-07-01 6.09 5.4942 8.153 5.4911 8.6021 -2.6211 -2.3516 6.3595 -999.99 -1.6114
200 1970-08-01 5.97 5.4936 8.033 5.4896 8.4821 -2.206 -2.3531 5.8229 -999.99 -1.6091
201 1970-09-01 6.27 5.493 8.333 5.4881 8.7821 -1.0248 -2.3546 4.9402 -999.99 -1.6069
202 1970-10-01 4.74 5.4923 6.803 5.4866 7.2521 -2.3004 -2.3561 4.6844 -999.99 -1.6047
203 1970-11-01 4.16 5.4917 6.223 5.4851 6.6721 -2.555 -2.3576 4.3574 -999.99 -1.6024
204 1970-12-01 6.51 5.4911 8.573 5.4836 9.0221 -0.1221 -2.3591 4.2731 -999.99 -1.6002
205 1971-01-01 3.33 5.4905 5.393 5.4821 5.8421 -2.9492 -2.3606 3.9186 -999.99 -1.598
206 1971-02-01 6.35 5.4898 8.413 5.4806 8.8621 -0.8192 -2.3621 4.8071 -999.99 -1.5957
207 1971-03-01 8.56 5.4892 10.623 5.4791 11.0721 -0.1695 -2.3636 6.3659 -999.99 -1.5935
208 1971-04-01 7.95 5.4886 10.013 5.4776 10.4621 -1.4218 -2.3651 7.0067 -999.99 -1.5913
209 1971-05-01 7.54 5.4879 9.603 5.4761 10.0521 -1.6317 -2.3666 6.8051 -999.99 -1.589
210 1971-06-01 5.78 5.4873 7.843 5.4746 8.2921 -3.0409 -2.3681 6.4528 -999.99 -1.5868
211 1971-07-01 5.85 5.4867 7.913 5.4731 8.3621 -2.8611 -2.3696 6.3415 -999.99 -1.5846
212 1971-08-01 6.15 5.4861 8.213 5.4716 8.6621 -2.026 -2.3711 5.8049 -999.99 -1.5823
213 1971-09-01 4.47 5.4854 6.533 5.4701 6.9821 -2.8248 -2.3726 4.9222 -999.99 -1.5801
214 1971-10-01 5.59 5.4848 7.653 5.4686 8.1021 -1.4504 -2.3741 4.6664 -999.99 -1.5779
215 1971-11-01 5.14 5.4842 7.203 5.4671 7.6521 -1.575 -2.3756 4.3394 -999.99 -1.5756
216 1971-12-01 4.19 5.4836 6.253 5.4656 6.7021 -2.4421 -2.3771 4.2551 -999.99 -1.5734
217 1972-01-01 4.51 5.4829 6.573 5.4641 7.0221 -1.7692 -2.3786 3.9006 -999.99 -1.5712
218 1972-02-01 4.75 5.4823 6.813 5.4626 7.2621 -2.4192 -2.3801 4.7891 -999.99 -1.5689
219 1972-03-01 5.65 5.4817 7.713 5.4611 8.1621 -3.0795 -2.3816 6.3479 -999.99 -1.5667
220 1972-04-01 8.74 5.481 10.803 5.4596 11.2521 -0.6318 -2.3831 6.9887 -999.99 -1.5645
221 1972-05-01 6.81 5.4804 8.873 5.4581 9.3221 -2.3617 -2.3846 6.7871 -999.99 -1.5622
222 1972-06-01 4.89 5.4798 6.953 5.4566 7.4021 -3.9309 -2.3861 6.4348 -999.99 -1.56
223 1972-07-01 8 5.4792 10.063 5.4551 10.5121 -0.7111 -2.3876 6.3235 -999.99 -1.5578
224 1972-08-01 5.36 5.4785 7.423 5.4536 7.8721 -2.816 -2.3891 5.7869 -999.99 -1.5555
225 1972-09-01 4.52 5.4779 6.583 5.4521 7.0321 -2.7748 -2.3906 4.9042 -999.99 -1.5533
226 1972-10-01 3.81 5.4773 5.873 5.4506 6.3221 -3.2304 -2.3921 4.6484 -999.99 -1.5511
227 1972-11-01 3.45 5.4766 5.513 5.4491 5.9621 -3.265 -2.3936 4.3214 -999.99 -1.5488
228 1972-12-01 4 5.476 6.063 5.4476 6.5121 -2.6321 -2.3951 4.237 -999.99 -1.5466
229 1973-01-01 4.68 5.4754 6.743 5.4461 7.1921 -1.5992 -2.3966 3.8826 -999.99 -1.5444
230 1973-02-01 3.45 5.4748 5.513 5.4446 5.9621 -3.7192 -2.3981 4.7711 -999.99 -1.5422
231 1973-03-01 7.2 5.4741 9.263 5.4431 9.7121 -1.5295 -2.3996 6.3299 -999.99 -1.5399
232 1973-04-01 6.34 5.4735 8.403 5.4416 8.8521 -3.0318 -2.4011 6.9707 -999.99 -1.5377
233 1973-05-01 8.02 5.4729 10.083 5.4401 10.5321 -1.1517 -2.4026 6.7691 -999.99 -1.5355
